1	bˈɛr
1-fevralgacha	veɾentʃifiðiɾelɟetʃe
10	ɔn
10-mart	ɔ̙nɔːnʃɑːmɑːr
10-martda	onunutʃɛnarttɛ
10-martdagi	unintʃimɒɾtɒgi
100	jˈɛz
1000	mˈeɪn
10000	onmin
100000	jyzmɛ
1000000	ɾˈmˈˈilˈjɒn
10000000	ɔ̃nmiːljoːn
100000000	jyːzmiliˈjɑn
1000000000	pelmiʝaɾd̪
10000000000	ũnmˌiliˈaɾədʊ
100000000000	ʊjsemiliˈaɾdɨ
1001	mʲiŋbæɾ
1002	berniikːe
101	vɒˈrijuzɒbɒɾ
102	bɾˈizɪkˈɪ
103	bˈœɾjˈuzˈytʃ
104	prɛizɛtɔrt
105	varɪjuːzabʲeɕ
1050	bermeŋeˈɾlɒk
106	børjøzɑɫte
107	bˈiɾˈjˈuzijettɒ
108	bˌaːɾˈyːzðˈɛsˈakkes
109	bɾjɪzɯtɔɫqɯz
11	ɔnbɛr
110	frizɑɑn
1100	vɐɾmiŋjˈvˈɛɾiɪz
11000	onbɛrmɪn
111	bøɾyizondaɾ
112	bˌɑrizˈonikˈi
113	ɒhɾujuzɒnøtʃ
114	berˈizɔntɔrt
115	beʁyzyonbeʃ
116	bɾezzɔnaltɑ
117	brizuoɲijɛtːɛ
118	bˌyːzɑˈɔnsˈakas
119	bˈiɾˈiˈzvɒˈjontɒlqɒs
12	ɒneˈtʃi
120	bəɾɪuzijɛgeɾɛnɑ
1200	tɐrmɪˌˌiʃˌkjuz˨˩˦
12000	onˈkjamɛ̃
13	ɔnøtʃ
130	brisˈɔtˈtˈɛzˈ
1300	peɾmiŋytʃ
13000	ɔnɔtʃmɛn
14	ˈɔntɔrt
140	bˈiɾˈjˈuzɯkɐrq
1400	ɾɛmiːltˈordiʒ
14000	ontortɛmɛjˈm
15	ɔnbeʃ
150	dɑˈɾɯjɯzɯilnˈlik
1500	riarenmi
15000	onbeʃmiːn
16	ɒnɒltɒ
160	bøjɯzɑlɯtɯŋɯʃ
1600	vˈɛrmˈinˈgˈɑltjɪə
17	onijɛtːɛ
170	ðəɪjuːzɪnjätɪ̞nɪ̞ʃ
1700	vɛlmɛnˈgitˈiz
18	ɔnsækˈke̞z
180	bɚˈuzəsˈɛɪsˈɔŋ
1800	beɾmiːnsaksis
19	ɒntuqqiz
190	bˈɛʁiˈsˈutˈɒlsˈɑ̃nˈ
1900	bɛrmiŋtɔɟqøziz
1991	tɛrmʲintɔqqɔzjizɑtɔχsɑndɑr
2	ɛkːɛ
20	igarma
200	ekiz
2000	et̪kemˈiŋ
200000	tʲetʲizʲmʲan
2014-yil	ekimiŋoŋtortɛntsiɲen
2017	bekimiŋˈɒnijɒtˈti
2018	ekimˈiːnˈwnfˈakːəs
2018 йил	beˈkimij ɔntsakˈkɯzintʃe jel
2018 йилнинг	ekimi onsaʔɯtʃɛ jelˈneŋ
2019	kimiːn˧ɒntɒqqiz
21	eˈgɛrnæbɛr
22	igɪ̞rmæjtkʲi
23	tʃiˈgɪrɪŋeʉtʃ
24	iːgɛrnætːorːt
25	ʝeɣ̞aɾnaβ̞eʃ
26	iːgɛrmæɑltæ
27	igɛrmæjʲɛtːʲɛ
28	ʲiːrɪmɪsɐkʲːæs
29	igrmætɒqqɒz
3	ytʃ
30	otas
300	bøtʃjøz
3000	tˈɪtʃˈɛl
31	tɯzbæɾ
32	ot̪t̪iz̺ikːi
33	ɔtːusytʃ
34	æˈtstˈɑrd
35	pot̪t̪ɯzbeʃ
36	ottɯ̞zɑɫtɯ̞
37	aːtʁet̪ti
38	utsakɛz
39	əʃtɔkɑz
4	tɒrt
40	kɑrq
400	tɔɾtjˈɒz
4000	tɔrt
41	qɑrqʊ̞bɑr
42	χɑrqɯ̞ɪ̞kɪ̞
43	qɑrqʏ̞tʃ
44	qɑrqʊ̞toɾt
45	qɯ̞rqbʲæʃ
46	qɑrqɑɫtɯ̞
47	qɑrqɯ̞jɯ̞tːʊ̞
48	kæksäk
49	χærqtɵqɵs
5	beʃ
50	ɛnˈlik
500	bessus
5000	beʃmiːn
51	jælˈle
52	ɛnd̪ækikːi
53	ɛnɫɛkytʃ
54	jˈæˈlektɒˈɾt
55	ˈldekbeʃ
56	ɛnˈlɛkaltɑ
57	avˈekjˈet̪t̪ɒ
57-son qaror	bolʲʂ jɪːtʊ̞ntʃ jɪsʊ̞ŋ qɑrɑr
57-son qaroriga asosan	eˈli etˈtiˈnˈtʃɒ sɒmˈ qɒɾɒɾˈigɒs vˈɒˈsɒm
58	ennˈɪçtsˈakˈes
59	ɛvˈlɛktɔpˈkɒs
6	altɯ̞
60	ɑɫtɯmɪʃ
600	ɑɫtɑjɛz
6000	lt̪emiɲ
61	atɯmɯʃbɛr
62	aːtɯnɯʃɛqːɯ
63	ɑtɯmeʃytʃ
64	atmeʃtar
65	ˈaltomˈaʃbeʃ
66	ɑtɯ̞nɪ̞ʂɑɫtɯ̞
67	atɯ̞nʲɪʃʲɪjɛtːɛ
68	oːtməʃsɑːkˈɑst
69	atɯnɯʃtɯw̜qiz
7	jɛtðæ
70	jetiŋeʃ
700	jˈɛttˈijˈz
7000	jætɑmɪ̞n
71	jetˈmeʃbɛr
72	jætmɛʃɛkːi
73	jæknøʃuʉ
74	nˈetˈmˈisˈtˈor
75	jetiˈneʃbeʃ
76	jɛtmɪʃɑɫtɯ̞
77	jatmɪkjiːtːɛ
78	etɛmˌiʃsˈakːəs
79	jetiŋɒʃtɒlqiʃ
8	sakˈɯz
8 ноябрь	sakɣɯzɯtʃɯnajaɾ
8 ноябрь куни	saːk kɯzintʃɯn naja bɪr kuni
80	saksõŋ
800	sakˈkeziːz
8000	sakːˈsmɪn
81	sɛksɑndɑr
82	sakˈsaˈnˈtˈtˈk
83	saksɒnøtʃ
84	saksãn̪t̪æɾt̪
85	saksɒnˈbæʃ
86	saksˈanˈaltˈa
87	saksanjˈɛtːe
88	sˈɛksˈɑːnsˈakːəs
89	saksəntɔqqɑs
9	tɒkɒz
90	tɔxˈsɑm
900	tɔlqɑqɑzˈjiz
9000	toqqizmiŋˈ
900000	tɒqquzjizmin
